VendorNumber,TotalPurchaseDollars,Purchase_Contribution%
4425,362237.58999999997,18.580523788368314
9165,315924.96,16.204975399210525
9552,281011.82,14.414149581556886
2000,141403.95,7.25313862855659
653,100741.9,5.167429668012704
4692,79248.0,4.064926970115422
1128,65708.61,3.3704409064934873
10754,61496.060000000005,3.1543634268352028
7245,57484.15,2.948577524848077
12546,50687.54,2.5999539217999725
480,47755.590000000004,2.4495632162928316
1590,44268.8,2.270712687445053
1392,34924.3,1.7913982558853476
17035,34838.19,1.7869813512139787
6213,31745.98,1.6283703095944977
6785,29936.43,1.5355517072477842
8673,23494.120000000003,1.2051014792439954
90024,22155.78,1.1364530040624854
3960,21335.43,1.0943741775945093
2561,16429.14,0.8427121729482394
8352,16348.7,0.8385861038300776
9815,14036.52,0.7199857247446562
7153,13139.22,0.6739598443402981
1587,11330.82,0.5812002298041996
3252,10760.26,0.5519340687393267
3924,7989.9,0.40983192002984564
7239,7027.0199999999995,0.36044219560797075
90047,6196.06,0.3178191424698839
9625,5522.76,0.283283061698398
8664,5320.08,0.2728868447805831
5455,4254.120000000001,0.21820976077765267
1703,4187.04,0.21476897613759433
1601,3359.68,0.17233058049360714
8892,2857.6800000000003,0.14658111881636682
17031,2620.06,0.13439269833081732
516,1856.74,0.09523915433187093
9744,1848.96,0.09484008896962207
1439,1584.56,0.081278021902964
2555,1153.44,0.05916426110955396
7749,1109.5100000000002,0.05691092674405363
8004,1032.48,0.05295976930780298
3664,848.4,0.043517616109503374
1485,697.1999999999999,0.03576200135731465
660,470.88,0.02415320022824487
2496,452.01,0.023185287196672115
11567,304.32,0.01560971350123063
5992,290.64,0.01490801502365165
5612,127.92,0.006561496290343791
